PlotID, preCFL, postCFL, preCBD, postCBD, preCBH, postCBH, preSH, postSH, preTD, postTD, preSDI, postSDI, preCC, postCC, preBA, postBA, preQMD, postQMD, preQ75, postQ75, preTORI, postTORI, preCRNI, postCRNI, stdCubicFt, HarCubicFt, stdMCFt, HarMCFt, stdMBFt, HarMBFt, preFueMod, postFueMod
 Units, T/ac,  T/ac,  kg/m3,   kg/m3,     ft,      ft,    ft,     ft,    tpa,     tpa,    tpa,     tpa, percent,percent,ft2/ac, ft2/ac,     in,      in,     in,      in,   mi/hr,    mi/hr,   mi/hr,    mi/hr,    ft3/ac,     ft3/ac,  ft3/ac,  ft3/ac,   ft/ac,   ft/ac,      code,       code
118-Inventory,   1.86,   1.86,  0.070,  0.070,  16.00,  16.00,  82.00,  82.00, 143.00, 143.00, 152.88, 152.88,   32.33,  32.33,  95.58,  95.58,  11.07,  11.07,  16.50,  16.50,    100,    100,     36,     36, 3103.36,   0.00, 2759.90,   0.00,  14287.00,   0.00, NB9, NB9 
204-Inventory,   4.12,   4.12,  0.049,  0.049,  16.00,  16.00,  92.00,  92.00, 130.00, 130.00, 238.42, 238.42,   71.17,  71.17, 153.58, 153.58,  14.72,  14.72,  16.56,  16.56,    100,    100,     47,     47, 4247.10,   0.00, 4006.60,   0.00,  20826.00,   0.00, NB9, NB9 
176-Inventory,   5.02,   5.02,  0.063,  0.063,  22.00,  22.00,  95.00,  95.00, 104.00, 104.00, 272.61, 272.61,   81.20,  81.20, 193.21, 193.21,  18.46,  18.46,  21.84,  21.84,    100,    100,     39,     39, 5526.88,   0.00, 5339.10,   0.00,  29692.00,   0.00, NB9, NB9 
198-Inventory,   3.15,   3.15,  0.037,  0.037,  16.00,  16.00, 108.00, 108.00, 143.00, 143.00, 192.56, 192.56,   60.29,  60.29, 115.43, 115.43,  12.17,  12.17,  13.59,  13.59,    100,    100,     56,     56, 3632.27,   0.00, 3312.40,   0.00,  17940.00,   0.00, NB9, NB9 
201-Inventory,   3.57,   3.57,  0.035,  0.035,  10.00,  10.00, 111.00, 111.00, 130.00, 130.00, 168.17, 168.17,   62.75,  62.75, 101.39, 101.39,  11.96,  11.96,  14.82,  14.82,    100,    100,     58,     58, 3068.07,   0.00, 2797.60,   0.00,  15691.00,   0.00, NB9, NB9 
174-Inventory,   1.75,   1.75,  0.043,  0.043,  25.00,  25.00,  79.00,  79.00, 130.00, 130.00, 139.51, 139.51,   47.68,  47.68,  87.42,  87.42,  11.10,  11.10,  16.82,  16.82,    100,    100,     51,     51, 2415.87,   0.00, 2250.30,   0.00,  10790.00,   0.00, NB9, NB9 
193-Inventory,   3.22,   3.22,  0.041,  0.041,   9.00,   9.00,  85.00,  85.00, 104.00, 104.00, 158.71, 158.71,   60.82,  60.82,  97.35,  97.35,  13.10,  13.10,  14.50,  14.50,    100,    100,     52,     52, 2482.55,   0.00, 2293.20,   0.00,  11908.00,   0.00, NB9, NB9 
116-Inventory,   4.70,   4.70,  0.123,  0.123,  60.00,  60.00, 100.00, 100.00, 273.00, 273.00, 375.66, 375.66,   51.39,  51.39, 232.92, 232.92,  12.51,  12.51,  15.54,  15.54,    100,    100,     24,     24, 9885.23,   0.00, 9148.10,   0.00,  49790.00,   0.00, NB9, NB9 
71-Inventory,   1.95,   1.95,  0.020,  0.020,   6.00,   6.00, 118.00, 118.00, 143.00, 143.00, 228.60, 228.60,   53.19,  53.19, 146.84, 146.84,  13.72,  13.72,  16.68,  16.68,    100,    100,     86,     86, 5417.45,   0.00, 5036.20,   0.00,  26988.00,   0.00, NB9, NB9 
60-Inventory,   5.98,   5.98,  0.177,  0.177,  11.00,  11.00,  68.00,  68.00, 741.00, 741.00, 439.58, 439.58,   94.83,  94.83, 221.01, 221.01,   7.39,   7.39,   8.96,   8.96,    100,    100,     18,     18, 5432.83,   0.00, 4676.10,   0.00,  12298.00,   0.00, NB9, NB9 
46-Inventory,   2.92,   2.92,  0.093,  0.093,  36.00,  36.00,  75.00,  75.00, 455.00, 455.00, 229.30, 229.30,   80.23,  80.23, 118.55, 118.55,   6.91,   6.91,   9.82,   9.82,    100,    100,     29,     29, 3014.68,   0.00, 2512.90,   0.00,  7527.00,   0.00, NB9, NB9 
Average,    3.06,   3.06,  0.099,  0.099,  25.58,  25.58,  83.65,  83.65, 260.00, 260.00, 222.41, 222.41,   59.32,  59.32, 132.80, 132.80,  11.83,  11.83,  15.13,  15.13,    100,    100,     38,     38,  4087.24,   0.00, 3666.71,   0.00,  18543.45,   0.00  
