FIRE_NUM, XStart, YStart, FireSize
449, 372945.248869, 5724694.787452, 9.291162
450, 379470.951236, 5727956.067677, 125.331850
451, 372018.621204, 5731163.557959, 0.197684
452, 373270.894454, 5727958.151033, 104.673840
453, 372398.371007, 5727658.489613, 12.355269
454, 380465.325986, 5726458.241001, 35.187806
455, 376838.625403, 5728146.323040, 53.868973
456, 373800.115967, 5730512.885089, 61.578661
457, 381461.120900, 5732089.712807, 50.211814
458, 372400.959213, 5728431.922241, 21.844116
459, 380528.836870, 5730122.649315, 65.927716
460, 378252.657660, 5729316.034899, 40.525283
461, 376192.166117, 5729146.005321, 80.358670
462, 375671.341847, 5727712.788850, 56.340027
463, 377734.554765, 5728655.044350, 34.001701
464, 376400.334341, 5727803.332908, 46.851180
465, 374619.780103, 5731154.855607, 35.484333
466, 379359.343556, 5729685.616648, 31.036436
467, 372847.188300, 5729528.553129, 72.648982
468, 378295.052681, 5732221.871755, 95.086151
469, 373135.398069, 5729606.440698, 87.079936
470, 374257.406531, 5724687.343106, 11.564532
471, 374998.295159, 5731105.430351, 46.258127
472, 379522.957092, 5725604.147719, 81.050565
473, 379593.953212, 5728166.233346, 55.351605
474, 374918.448871, 5726924.107177, 72.253614
475, 377306.300214, 5725917.584965, 46.258127
476, 376848.416532, 5732898.551584, 26.094328
477, 376321.883925, 5726972.298030, 85.201936
478, 377083.156313, 5725661.834230, 60.886766
479, 376943.435737, 5727113.648455, 70.177928
480, 381391.887969, 5729280.396755, 63.753188
481, 378507.629255, 5725019.264272, 78.579511
482, 372403.360009, 5732111.823942, 40.722967
483, 378918.826065, 5724614.108970, 69.584875
484, 379040.793434, 5728222.411215, 50.706024
485, 375769.141226, 5726772.197287, 54.264342
486, 376329.038690, 5728133.737582, 36.769281
487, 378467.009969, 5732086.411804, 47.147707
488, 372826.621214, 5728477.085688, 51.595604
489, 379751.637338, 5728667.094464, 89.847517
490, 377940.832396, 5730202.285369, 16.308955
491, 376531.880312, 5728094.142174, 66.619611
492, 379234.784036, 5727629.582067, 29.059593
493, 373871.668724, 5730117.974405, 72.945509
494, 377485.817644, 5730122.454712, 40.228756
495, 374044.095990, 5731344.653971, 26.885066
496, 381690.351469, 5728274.805194, 68.003401
497, 379552.982928, 5727899.448896, 160.519656
498, 378005.344833, 5724729.306159, 57.031922
499, 372988.315891, 5726070.130584, 3.657160
500, 372563.087989, 5727155.144192, 36.769281
501, 375579.358931, 5727468.273776, 87.277621
502, 373066.612085, 5724134.546889, 0.790737
503, 372854.573856, 5727935.160071, 46.851180
504, 381994.414118, 5727586.148132, 1.186106
505, 374458.549570, 5728946.680034, 27.478118
506, 380612.705307, 5728653.565162, 94.295414
507, 373842.972202, 5724575.335009, 11.366848
508, 381289.677385, 5728527.348326, 127.704061
509, 376695.917707, 5727056.143229, 83.422777
510, 380820.492821, 5724616.589125, 8.203899
511, 377618.783281, 5724170.528167, 0.197684
512, 377755.658466, 5728302.657757, 63.753188
513, 378728.348873, 5728324.260244, 90.737096
514, 376276.500285, 5728356.111293, 47.444233
515, 372517.123809, 5724180.329160, 1.383790
516, 377018.581756, 5729154.084671, 81.742460
517, 376137.269399, 5729407.809450, 27.181592
518, 377229.287615, 5728209.186511, 33.804016
519, 372893.360007, 5727347.413328, 59.898345
520, 372684.739830, 5729954.731277, 44.676653
521, 372619.836963, 5727191.974716, 28.466540
522, 379391.925863, 5728300.252729, 95.481519
523, 376553.487150, 5725536.074295, 42.996336
524, 378156.135594, 5726945.127758, 51.990972
525, 372298.839498, 5725372.143675, 2.965265
526, 378300.972214, 5729343.034062, 44.281284
527, 373276.795379, 5727750.581021, 97.161836
528, 378401.316437, 5730741.210165, 2.372212
529, 375817.922894, 5729640.208135, 45.170864
530, 374274.142128, 5726554.629119, 63.852031
531, 379038.250360, 5725580.182164, 110.011316
532, 379235.639973, 5729899.182650, 19.966115
533, 381145.516151, 5730305.890847, 18.285798
534, 375182.140151, 5727408.214222, 108.528684
535, 375482.364177, 5728347.297327, 95.975730
536, 378775.293418, 5725357.495201, 89.353306
537, 373198.763634, 5729195.501496, 70.573297
538, 381995.741229, 5726849.085842, 5.535161
539, 377114.981208, 5726057.962583, 63.456662
540, 375829.848783, 5728677.370778, 112.284685
541, 379874.185536, 5729575.270142, 94.591940
542, 381919.612507, 5728937.447233, 38.844966
543, 375698.543447, 5731367.702605, 27.181592
544, 377853.438474, 5727276.456701, 51.694446
545, 375230.349177, 5730017.264979, 36.868123
546, 380476.980422, 5730793.235244, 4.151370
547, 378519.592756, 5729102.205986, 54.066657
548, 379485.868338, 5724883.622832, 85.004251
549, 372292.178451, 5729419.525737, 55.944658
550, 373485.748457, 5726606.982115, 79.271406
551, 374334.246714, 5729739.262050, 49.124550
552, 380106.264183, 5725221.894053, 44.577811
553, 373367.666124, 5728354.738002, 110.802053
554, 380867.494536, 5729718.260315, 69.980244
555, 378447.071656, 5726947.299334, 60.194871
556, 381191.016048, 5732324.965375, 28.664224
557, 378190.622675, 5730392.548691, 36.472754
558, 378437.171119, 5727321.392551, 42.106757
559, 378657.917740, 5726587.608980, 73.242035
560, 373896.020603, 5729172.860344, 23.623274
561, 376328.424273, 5727495.645053, 75.515405
562, 375267.942852, 5727587.432680, 99.138679
563, 379685.843265, 5732498.764287, 54.659710
564, 379195.351991, 5727502.195301, 44.380127
565, 372823.066728, 5725354.938695, 0.098842
566, 379621.302511, 5732453.437430, 57.031922
567, 377622.119442, 5724322.135516, 16.111271
568, 373230.851540, 5729699.874526, 85.992673
569, 377628.804443, 5728484.244433, 28.071171
570, 376538.025034, 5727323.934464, 56.340027
571, 378437.553613, 5728910.993376, 75.416562
572, 378124.667735, 5725272.036519, 83.818145
573, 381242.055996, 5727874.896695, 95.184993
574, 377036.990614, 5732389.061163, 18.285798
575, 378419.722664, 5727623.379437, 37.560018
576, 379246.970649, 5724632.692572, 105.464577
577, 376655.152692, 5730994.804928, 10.872637
578, 380720.091656, 5730662.074804, 14.727481
579, 378180.719801, 5729600.909157, 39.833388
580, 375756.768792, 5727634.304205, 40.129914
581, 379785.441830, 5728947.989975, 73.143193
582, 375345.010790, 5730735.222791, 39.932230
583, 375166.141971, 5728690.025256, 21.547589
584, 380219.605409, 5726504.630968, 68.794138
585, 374259.127135, 5726512.133853, 45.467390
586, 381891.729397, 5732214.436768, 17.198535
587, 378233.178051, 5727180.837023, 32.420226
588, 381082.989140, 5728904.086185, 44.083600
589, 372910.457087, 5729109.182768, 69.782560
590, 380428.384548, 5726438.593148, 42.007915
591, 380117.105835, 5728555.538662, 110.406685
592, 376918.832210, 5725507.774470, 71.561719
593, 380648.209700, 5730331.646404, 34.990122
594, 375432.667941, 5729204.924914, 89.155622
595, 373492.205428, 5724983.740072, 18.186956
596, 375601.852439, 5728504.732073, 111.493948
597, 379313.469612, 5727965.405952, 58.811081
598, 380325.205295, 5728574.689703, 109.319421
599, 378249.665386, 5728233.068130, 47.938444
600, 379224.150274, 5732368.153808, 42.798652
601, 378165.869103, 5726097.672731, 106.848367
602, 380992.475017, 5729938.602931, 50.310656
603, 378162.975912, 5726811.731864, 54.165500
